,US-SP500,UK-FTSE100,JPN-Nikke225
2001/7/2,1236.71,5716.68,12751.18
2001/7/3,1234.45,5639.91,12817.41
2001/7/4,1234.45,5600.49,12629.02
2001/7/5,1219.24,5549.61,12607.3
2001/7/6,1190.59,5479.24,12306.08
2001/7/9,1198.78,5468.86,12239.68
2001/7/10,1181.52,5467.9,12300.41
2001/7/11,1180.18,5391.86,12005.11
2001/7/12,1208.14,5481.58,12407.95
2001/7/13,1215.68,5536.98,12355.15
2001/7/16,1202.45,5517.12,12343.37
2001/7/17,1214.44,5427.76,12128.57
2001/7/18,1207.71,5404.59,11892.58
2001/7/19,1215.02,5437.43,11908.39
2001/7/20,1210.85,5387.05,11908.39
2001/7/23,1191.03,5405.28,11609.63
2001/7/24,1171.65,5320.16,11883.25
2001/7/25,1190.49,5275.73,11891.61
2001/7/26,1202.93,5286.07,11858.56
2001/7/27,1205.82,5403.1,11798.08
2001/7/30,1204.52,5446.66,11579.27
2001/7/31,1211.23,5529.05,11860.77
2001/8/1,1215.93,5546.93,11959.33
2001/8/2,1220.75,5584.54,12399.2
2001/8/3,1214.35,5547.56,12241.97
2001/8/6,1200.48,5526.43,12243.9
2001/8/7,1204.4,5536.8,12319.46
2001/8/8,1183.53,5476.49,12163.67
2001/8/9,1183.43,5402.93,11754.56
2001/8/10,1190.16,5427.2,11735.06
2001/8/13,1191.29,5431.08,11477.56
2001/8/14,1186.73,5507.77,11917.95
2001/8/15,1178.02,5461.58,11755.4
2001/8/16,1181.66,5389.77,11515.02
2001/8/17,1161.97,5342.13,11445.54
2001/8/20,1171.41,5357.45,11257.94
2001/8/21,1157.26,5430.31,11280.38
2001/8/22,1165.31,5408.67,11396.43
2001/8/23,1162.09,5396.53,11126.92
2001/8/24,1184.93,5471.88,11166.31
2001/8/27,1179.21,5471.88,11275.01
2001/8/28,1161.51,5434.65,11189.4
2001/8/29,1148.6,5417.64,10979.76
2001/8/30,1129.03,5332.67,10938.45
2001/8/31,1133.58,5344.97,10713.51
2001/9/3,1133.58,5312.12,10409.68
2001/9/4,1132.94,5379.62,10772.59
2001/9/5,1131.74,5316.05,10598.79
2001/9/6,1106.4,5204.33,10650.33
2001/9/7,1085.78,5070.29,10516.79
2001/9/10,1092.54,5033.68,10195.69
2001/9/11,1092.54,4745.98,10292.95
2001/9/12,1092.54,4882.12,9610.1
2001/9/13,1092.54,4943.61,9613.09
2001/9/14,1092.54,4755.75,10008.89
2001/9/17,1038.77,4898.85,9504.41
2001/9/18,1032.74,4848.7,9679.88
2001/9/19,1016.1,4721.69,9939.6
2001/9/20,984.54,4556.9,9785.16
2001/9/21,965.8,4433.69,9554.99
2001/9/24,1003.45,4613.86,9554.99
2001/9/25,1012.27,4663.42,9693.97
2001/9/26,1007.04,4696.1,9641.7
2001/9/27,1018.61,4763.63,9696.53
2001/9/28,1040.94,4903.39,9774.68
2001/10/1,1038.55,4785.63,9972.28
2001/10/2,1051.33,4832.34,10136.56
2001/10/3,1072.28,4881.81,9924.23
2001/10/4,1069.63,5016.24,10205.48
2001/10/5,1071.38,5036.03,10205.87
2001/10/8,1062.44,5032.71,10205.87
2001/10/9,1056.75,5009.79,10011.77
2001/10/10,1080.99,5153.06,9964.88
2001/10/11,1097.43,5164.92,10347.01
2001/10/12,1091.65,5145.5,10632.35
2001/10/15,1089.98,5067.26,10452.54
2001/10/16,1097.54,5082.58,10637.82
2001/10/17,1077.09,5203.41,10755.45
2001/10/18,1068.61,5116.03,10474.85
2001/10/19,1073.48,5017.69,10538.79
2001/10/22,1089.9,5070.42,10565.41
2001/10/23,1084.78,5193.34,10861.56
2001/10/24,1085.2,5167.6,10802.15
2001/10/25,1100.09,5086.59,10880.1
2001/10/26,1104.61,5188.65,10795.16
2001/10/29,1078.3,5085.89,10612.31
2001/10/30,1059.79,5003.6,10512.82
2001/10/31,1059.78,5039.71,10366.34
2001/11/1,1084.1,5071.23,10347.28
2001/11/2,1087.2,5129.54,10383.78
2001/11/5,1102.84,5209.12,10447.54
2001/11/6,1118.86,5214.06,10633.72
2001/11/7,1115.8,5216.27,10284.98
2001/11/8,1118.54,5278.09,10431.79
2001/11/9,1120.31,5244.21,10215.71
2001/11/12,1118.33,5146.23,10081.56
2001/11/13,1139.09,5277.07,10030.56
2001/11/14,1141.21,5240.75,10086.76
2001/11/15,1142.24,5238.2,10489.89
2001/11/16,1138.65,5290.98,10649.09
2001/11/19,1151.06,5337.96,10727.94
2001/11/20,1142.66,5298.69,10575.62
2001/11/21,1137.03,5313.78,10661.08
2001/11/22,1137.03,5345.94,10696.82
2001/11/23,1150.34,5293.21,10696.82
2001/11/26,1157.42,5302.45,11064.3
2001/11/27,1149.5,5265.96,10948.89
2001/11/28,1128.52,5205.23,10624.81
2001/11/29,1140.2,5208.51,10655.96
2001/11/30,1139.45,5203.55,10697.44
2001/12/3,1129.9,5164.64,10370.62
2001/12/4,1144.8,5212.14,10452.65
2001/12/5,1170.35,5333.53,10713.81
2001/12/6,1167.1,5369.78,10857.28
2001/12/7,1158.31,5264.74,10796.89
2001/12/10,1139.93,5185.04,10571.01
2001/12/11,1136.76,5160.77,10473.91
2001/12/12,1137.07,5119.99,10801.52
2001/12/13,1119.38,5074.86,10433.45
2001/12/14,1123.09,5061.02,10511.65
2001/12/17,1134.36,5136.31,10323.35
2001/12/18,1142.92,5151.08,10432.17
2001/12/19,1149.56,5120.55,10471.93
2001/12/20,1139.93,5080.23,10434.52
2001/12/21,1144.89,5159.23,10335.45
2001/12/24,1144.65,5177.41,10335.45
2001/12/25,1144.65,5177.41,10254.81
2001/12/26,1149.37,5177.41,10192.57
2001/12/27,1157.13,5213.22,10457.61
2001/12/28,1161.02,5242.42,10542.62
2001/12/31,1148.08,5217.35,10542.62
2002/1/1,1148.08,5217.35,10542.62
2002/1/2,1154.67,5218.29,10542.62
2002/1/3,1165.27,5318.79,10542.62
2002/1/4,1172.51,5323.76,10871.49
2002/1/7,1164.89,5293.57,10942.36
2002/1/8,1160.71,5250.37,10695.6
2002/1/9,1155.14,5228.46,10663.98
2002/1/10,1156.55,5190.7,10538.43
2002/1/11,1145.6,5198.57,10441.59
2002/1/14,1138.41,5113.5,10441.59
2002/1/15,1146.19,5166,10208.05
2002/1/16,1127.57,5127.58,10177.58
2002/1/17,1138.88,5138.45,10128.18
2002/1/18,1127.58,5126.79,10293.32
2002/1/21,1127.58,5138.53,10280.25
2002/1/22,1119.31,5149.19,10050.98
2002/1/23,1128.18,5180.65,10040.91
2002/1/24,1132.15,5233.14,10074.05
2002/1/25,1133.28,5193.05,10144.14
2002/1/28,1133.06,5223.62,10220.85
2002/1/29,1100.64,5131.4,10026.03
2002/1/30,1113.57,5089.32,9919.48
2002/1/31,1130.2,5164.78,9997.8
2002/2/1,1122.2,5189.68,9791.43
2002/2/4,1094.44,5167.31,9631.93
2002/2/5,1090.02,5093.36,9475.6
2002/2/6,1083.51,5073.81,9420.85
2002/2/7,1080.17,5127.03,9583.27
2002/2/8,1096.22,5128.09,9686.06
2002/2/11,1111.94,5161.78,9686.06
2002/2/12,1107.5,5135.71,9877.99
2002/2/13,1118.51,5153.92,9968.35
2002/2/14,1116.48,5208.75,10081.09
2002/2/15,1104.18,5182.48,10048.1
2002/2/18,1104.18,5154.29,10093.25
2002/2/19,1083.34,5092.5,9847.16
2002/2/20,1097.98,5024.15,9834.13
2002/2/21,1080.95,5073.31,10295.42
2002/2/22,1089.84,5050.84,10356.78
2002/2/25,1109.43,5100.74,10296.47
2002/2/26,1109.38,5138.95,10202.63
2002/2/27,1109.89,5178.44,10573.09
2002/2/28,1106.73,5100.96,10587.83
2002/3/1,1131.78,5169.02,10812
2002/3/4,1153.84,5241.98,11450.22
2002/3/5,1146.14,5214.03,11348.45
2002/3/6,1162.77,5245.54,11358.53
2002/3/7,1157.54,5282.14,11648.34
2002/3/8,1164.31,5285.65,11885.79
2002/3/11,1168.26,5258.93,11919.3
2002/3/12,1165.58,5252.5,11607.33
2002/3/13,1154.09,5271.96,11415.31
2002/3/14,1153.04,5261.42,11568.82
2002/3/15,1166.16,5292.73,11648.01
2002/3/18,1165.55,5299.93,11498.38
2002/3/19,1170.29,5316.07,11792.82
2002/3/20,1151.85,5266.9,11526.78
2002/3/21,1153.59,5253.3,11526.78
2002/3/22,1148.7,5250.5,11345.08
2002/3/25,1131.87,5203.61,11261.09
2002/3/26,1138.49,5195.46,11207.92
2002/3/27,1144.58,5214.7,11323.68
2002/3/28,1147.39,5271.76,11333.11
2002/3/29,1147.39,5271.76,11024.94
2002/4/1,1146.54,5271.76,11028.7
2002/4/2,1136.76,5251.44,11204.49
2002/4/3,1125.4,5247.84,11400.71
2002/4/4,1126.34,5209.46,11379.2
2002/4/5,1122.73,5233.63,11335.49
2002/4/8,1125.29,5178.55,11352.89
2002/4/9,1117.8,5179.56,11114.49
2002/4/10,1130.47,5229.12,11218.58
2002/4/11,1103.69,5137.43,11147.27
2002/4/12,1111.01,5161.02,10962.98
2002/4/15,1102.55,5201.44,11137.3
2002/4/16,1128.37,5259.88,11346.66
2002/4/17,1126.07,5263.88,11543.71
2002/4/18,1124.47,5229.37,11575.73
2002/4/19,1125.17,5243.6,11512.01
2002/4/22,1107.83,5221.47,11721.64
2002/4/23,1100.96,5190.99,11736.83
2002/4/24,1093.14,5218.17,11672.88
2002/4/25,1091.48,5197.54,11648.72
2002/4/26,1076.32,5159.01,11541.39
2002/4/29,1065.45,5153.86,11541.39
2002/4/30,1076.92,5165.58,11492.54
2002/5/1,1086.46,5125.51,11552.79
2002/5/2,1084.56,5174.06,11551.01
2002/5/3,1073.43,5203.05,11551.01
2002/5/6,1052.67,5203.05,11551.01
2002/5/7,1049.49,5119.9,11316.04
2002/5/8,1088.85,5209.1,11520.75
2002/5/9,1073.01,5197.58,11633.3
2002/5/10,1054.99,5171.24,11531.11
2002/5/13,1074.56,5204.84,11336.95
2002/5/14,1097.28,5239.47,11356.19
2002/5/15,1091.07,5259.11,11642.97
2002/5/16,1098.23,5248.53,11738.69
2002/5/17,1106.59,5217.98,11847.32
2002/5/20,1091.88,5208.1,11856.54
2002/5/21,1079.88,5197.21,11801.16
2002/5/22,1086.02,5151.89,11961.98
2002/5/23,1097.08,5175.31,11979.85
2002/5/24,1083.82,5169.07,11976.28
2002/5/27,1083.82,5136.26,11976.35
2002/5/28,1074.55,5074.22,11936.08
2002/5/29,1067.66,5082.98,11853
2002/5/30,1064.66,5040.75,11770.03
2002/5/31,1067.14,5085.07,11763.7
2002/6/3,1040.68,5085.07,11901.39
2002/6/4,1040.69,5085.07,11653.07
2002/6/5,1049.9,4989.15,11663.87
2002/6/6,1029.15,4957.63,11574.94
2002/6/7,1027.53,4920.4,11438.53
2002/6/10,1030.74,4928.21,11370.21
2002/6/11,1013.6,4934.82,11449.44
2002/6/12,1020.26,4851.67,11327.06
2002/6/13,1009.56,4771.91,11144.84
2002/6/14,1007.27,4630.77,10920.63
2002/6/17,1036.17,4756.75,10664.11
2002/6/18,1037.14,4702.01,10839.93
2002/6/19,1019.99,4652.43,10476.18
2002/6/20,1006.29,4580.34,10612.98
2002/6/21,989.14,4605.35,10354.35
